# module = se_top
# base_addr = 0x0000
# addr_width = 32
# data_width = 32
# addr_stride = 0x4
Offset Address	Register Name	Field Name	End Bit	Begin Bit	Width	Attribute	Description
0x0	SE_CTRL	start	0	0	1	WO	写 1 启动 SE
		stop	1	1	1	WO	写 1 停止 SE
		soft_reset	2	2	1	WO	写 1 软复位 SE 内部状态
		irq_en	3	3	1	RW	中断使能
		reserved	31	4	28	RO	保留，读 0
0x4	SE_BOOT_PC	boot_pc	31	0	32	RW	启动 PC
0x8	SE_FETCH_CFG	fetch_enable	0	0	1	RW	取指使能
		burst_beats	7	4	4	RW	每次取指 burst beat 数
		fifo_waterline	15	8	8	RW	FIFO 低水线阈值
		reserved	31	16	16	RO	保留，读 0
0xC	SE_MODE	single_step	0	0	1	RW	单步执行模式
		trace_en	1	1	1	RW	trace/debug 使能
		halt_on_illegal	2	2	1	RW	非法指令时停机
		halt_on_unsupported	3	3	1	RW	unsupported 指令时停机
		reserved	31	4	28	RO	保留，读 0
0x10	SE_STATUS	running	0	0	1	RO	SE 正在运行
		idle	1	1	1	RO	SE 空闲
		fetch_busy	2	2	1	RO	取指存在未完成请求
		decode_hold	3	3	1	RO	decode 当前被 hold
		lsu_pending	4	4	1	RO	存在未完成 load response
		error	5	5	1	RO	存在错误状态
		reserved	31	6	26	RO	保留，读 0
	SE_PC_CUR	pc_cur	31	0	32	RO	当前 fetch PC
	SE_PC_LAST_COMMIT	pc_last_commit	31	0	32	RO	最近进入 execute 的指令 PC
	SE_HOLD_REASON	scalar_raw	0	0	1	RO	scalar RAW 冒险
		scalar_waw	1	1	1	RO	scalar WAW 冒险
		desc_raw	2	2	1	RO	descriptor RAW 冒险
		desc_waw	3	3	1	RO	descriptor WAW 冒险
		lsu_busy	4	4	1	RO	LSU outstanding 满或 dcache 不 ready
		ts_not_ready	5	5	1	RO	目标 TS command queue 不 ready
		fifo_empty	6	6	1	RO	指令 FIFO 空
		fifo_full	7	7	1	RO	指令 FIFO 满
		reserved	31	8	24	RO	保留，读 0
	SE_ERR_STATUS	illegal_instr	0	0	1	W1C	非法指令错误
		unsupported_instr	1	1	1	W1C	unsupported 指令错误
		mif_error	2	2	1	W1C	MIF 返回错误
